Designator,Mid X,Mid Y,Rotation,Layer
U1,201.39,-66.4,-90.0,top
SW1,135.5,-87.25,0.0,top
R3,138.5,-95.5,0.0,top
M3,157.0,-55.225,0.0,top
U3,172.75,-55.725,0.0,top
U4,172.5,-87.475,0.0,top
U2,216.25,-79.6,180.0,top
BAT1,198.525,-48.0,-90.0,top
U11,170.44,-100.405,90.0,top
M2,192.75,-55.725,0.0,top
U9,179.31,-47.095,-90.0,top
M4,193.5,-88.75,0.0,top
M1,157.0,-89.5,0.0,top
R2,210.5,-70.705,-90.0,top
BAT2,150.025,-48.25,-90.0,top
U10,211.953949,-105.296051,135.0,top
U8,132.208885,-99.652962,45.0,top
R1,210.75,-77.705,-90.0,top
U7,131.845,-53.69,0.0,top
U5,177.5,-55.725,0.0,top
XA1,134.672,-73.75,-90.0,top
U12,217.905,-60.56,180.0,top
U6,177.75,-87.5,0.0,top
